ticker,close,best_rule,grade,score,trades,win,avg_ret,baseline,edge,t_stat,edge_is,edge_oos,n_oos,yearly,years,mae,worst,status,trigger_price,gap_to_trigger,rsi,pctb,vs_sma50,vs_sma200,off_52w_high,ret_1m,ret_3m,ret_12m,vol,beta,corr_spy,max_dd_1y,n_bars,wf_folds,wf_positive_frac,edge_lo,edge_hi,win_lo,win_hi,edge_hc,kelly_frac,kelly_dollars,bh_total,bh_cagr,bb_5d_n,bb_5d_win,bb_5d_edge,bb_10d_n,bb_10d_win,bb_10d_edge,bb_20d_n,bb_20d_win,bb_20d_edge,50-day_5d_n,50-day_5d_win,50-day_5d_edge,50-day_10d_n,50-day_10d_win,50-day_10d_edge,50-day_20d_n,50-day_20d_win,50-day_20d_edge,10%_5d_n,10%_5d_win,10%_5d_edge,10%_10d_n,10%_10d_win,10%_10d_edge,10%_20d_n,10%_20d_win,10%_20d_edge,group,is_position,short_pct_float,days_to_cover,insider_net_shares,put_call,earnings_date,earnings_in_hold
TSM,444.0650,BB dip,No,1,23,0.5217,0.0070,0.0119,-0.0049,-0.2946,-0.0171,0.0064,11,0.5000,8,-0.0498,-0.1503,Armed,408.2449,-0.0807,59.2916,0.8278,0.0617,0.1669,-0.0677,0.0667,0.0236,0.5874,0.4026,2.1854,0.7040,-0.2155,2513,4,0.5000,-0.0328,0.0217,0.3478,0.6957,-0.0069,0.0521,5205.2276,17.7686,0.3410,27,0.5185,0.0134,23,0.5217,-0.0049,20,0.6000,0.0109,77,0.4805,-0.0065,51,0.5294,-0.0133,35,0.5714,-0.0082,83,0.4337,-0.0088,52,0.5192,-0.0106,33,0.5455,0.0014,"Semiconductors and memory (NVDA, MU)",False,0.0062,2.9600,1062.0000,0.6119,2026-10-15,False
QCOM,192.7050,50-day pullback,No,1,38,0.5526,0.0063,0.0076,-0.0013,-0.1010,-0.0047,0.0051,13,0.5000,8,-0.0496,-0.1711,Armed,175.2784,-0.0904,61.9272,0.8110,0.1405,0.1505,-0.2253,0.2067,-0.0544,0.1604,0.5386,2.0861,0.5023,-0.4098,2513,5,0.6000,-0.0221,0.0205,0.4211,0.6842,-0.0033,0.0479,4790.5280,3.0509,0.1503,23,0.5652,0.0026,19,0.4737,-0.0073,15,0.5333,-0.0236,48,0.5833,0.0000,38,0.5526,-0.0013,25,0.4400,-0.0066,80,0.4250,-0.0122,46,0.4565,-0.0200,30,0.3000,-0.0436,"Semiconductors and memory (NVDA, MU)",False,0.0353,3.3600,-53131.0000,0.5669,2026-11-04,False
TXN,268.9850,10% drawdown,No,1,27,0.5185,0.0101,0.0074,0.0027,0.2357,0.0136,-0.0029,18,0.4000,5,-0.0416,-0.0968,Signal today,278.8861,0.0368,52.4358,0.8200,-0.0092,0.1044,-0.1863,0.0388,-0.1080,0.5363,0.4249,1.4524,0.4437,-0.2337,2512,3,0.6667,-0.0146,0.0204,0.3704,0.6667,0.0007,0.0908,9080.8283,4.1669,0.1786,23,0.5217,0.0052,19,0.5789,-0.0017,14,0.5714,0.0154,87,0.5172,-0.0013,60,0.5333,-0.0072,41,0.5854,0.0045,43,0.5116,0.0013,27,0.5185,0.0027,17,0.4706,0.0272,"Semiconductors and memory (NVDA, MU)",False,0.0261,3.5700,-320475.0000,1.4749,2026-10-27,False
CRM,239.2650,50-day pullback,No,1,33,0.5758,0.0064,0.0069,-0.0005,-0.0522,0.0068,-0.0314,6,0.5000,6,-0.0459,-0.1129,Armed,217.4544,-0.0912,54.3379,0.3397,0.1349,0.1927,-0.0951,0.1465,0.5690,-0.0336,0.4750,0.4712,0.1288,-0.4333,2512,4,0.5000,-0.0179,0.0170,0.4242,0.7273,-0.0025,0.0640,6403.2634,2.4739,0.1327,27,0.5185,-0.0065,20,0.5500,-0.0045,19,0.6316,0.0012,44,0.5682,-0.0114,33,0.5758,-0.0005,28,0.6786,0.0081,65,0.4923,-0.0056,39,0.5385,-0.0175,23,0.5652,-0.0298,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",False,0.0410,1.9000,-324.0000,0.5065,2026-12-02,False
TSLA,377.6150,BB dip,No,1,18,0.5556,-0.0112,0.0192,-0.0304,-0.9463,-0.0523,-0.0052,9,0.4000,5,-0.1087,-0.3424,Trend filter off,350.3505,-0.0722,58.9274,0.8546,0.0832,-0.0463,-0.2292,0.0781,0.0067,-0.1133,0.4630,2.2186,0.6213,-0.3910,2513,2,,-0.0844,0.0212,0.3861,0.7222,-0.0324,0.0000,0.0000,26.1029,0.3912,24,0.5000,-0.0252,18,0.5556,-0.0304,15,0.5333,-0.0084,45,0.4444,-0.0233,31,0.4194,-0.0460,23,0.3913,-0.0664,160,0.4875,-0.0075,92,0.4891,-0.0156,54,0.5370,-0.0188,"Mega-cap platforms (AMZN, GOOGL, META, MSFT)",False,0.0210,2.1400,-60428.0000,0.8105,2026-10-21,False
CEG,259.4500,10% drawdown,No,1,32,0.5938,0.0120,0.0189,-0.0070,-0.3266,-0.0040,-0.0043,17,0.5000,4,-0.0767,-0.1959,Trend filter off,269.1450,0.0374,41.1817,0.2017,-0.0439,-0.1069,-0.3541,-0.0511,-0.0303,-0.2484,0.4730,1.3355,0.3665,-0.4122,1174,4,0.5000,-0.0429,0.0302,0.4375,0.7500,-0.0090,0.0744,7444.4499,5.4173,0.4878,17,0.5882,-0.0062,15,0.5333,-0.0109,13,0.6154,0.0302,28,0.5357,-0.0095,20,0.5500,-0.0211,13,0.4615,-0.0587,55,0.5091,-0.0113,32,0.5938,-0.0070,19,0.4211,-0.0166,Power and clean energy (BE),False,0.0365,4.5200,1500.0000,0.9151,2026-11-09,False
FSLR,181.2665,BB dip,No,1,19,0.5263,0.0296,0.0104,0.0192,0.6369,-0.0468,0.0794,10,0.5714,7,-0.0686,-0.2284,Trend filter off,190.3944,0.0504,34.5175,-0.2150,-0.1457,-0.2018,-0.4304,-0.1298,-0.2701,-0.1731,0.5408,1.7959,0.4311,-0.4304,2512,5,0.4000,-0.0320,0.0687,0.3158,0.6842,0.0172,0.1203,12026.4697,3.8662,0.1716,25,0.5200,-0.0101,19,0.5263,0.0192,18,0.5000,-0.0025,61,0.4590,-0.0039,42,0.5238,0.0030,29,0.4828,0.0109,96,0.4688,-0.0068,56,0.5357,-0.0116,37,0.4865,-0.0444,Power and clean energy (BE),False,0.1147,3.7200,-62719.0000,0.7688,2026-10-29,False
SPXU,34.2550,10% drawdown,n/a (decay),1,21,0.2381,-0.0555,-0.0161,-0.0393,-1.3794,-0.0141,-0.0805,8,0.0000,4,-0.1149,-0.2809,Trend filter off,35.5726,0.0385,47.9963,0.4269,-0.0204,-0.1884,-0.4361,-0.0017,-0.1120,-0.3414,0.3868,-2.9814,-0.9995,-0.4626,2513,4,0.2500,-0.0828,0.0112,0.0952,0.3810,-0.0413,0.0000,0.0000,-0.9954,-0.4158,2,0.0000,-0.0463,1,0.0000,-0.0974,1,0.0000,-0.1650,13,0.4615,0.0295,8,0.3750,0.0291,6,0.3333,-0.0588,36,0.3611,-0.0180,21,0.2381,-0.0393,13,0.2308,-0.0419,Inverse ETFs (SDS),False,,,,0.1209,,False
SQQQ,34.6650,10% drawdown,n/a (decay),1,24,0.3333,-0.0278,-0.0235,-0.0043,-0.1156,0.0324,-0.0659,9,0.0000,4,-0.1274,-0.2836,Trend filter off,43.8728,0.2656,39.0099,0.1261,-0.1107,-0.3406,-0.6005,-0.1090,-0.1093,-0.5203,0.5949,-4.2653,-0.9298,-0.6163,2513,4,0.2500,-0.0624,0.0574,0.1667,0.5000,-0.0063,0.0000,0.0000,-0.9997,-0.5512,2,0.0000,-0.0867,1,0.0000,-0.1639,1,0.0000,-0.1869,13,0.5385,0.0370,9,0.4444,0.0241,8,0.2500,-0.0864,40,0.4250,-0.0040,24,0.3333,-0.0043,13,0.3077,-0.0023,Inverse ETFs (SDS),False,,,,0.1766,,False
SH,32.2199,10% drawdown,n/a (decay),0,11,0.2727,-0.0062,-0.0045,-0.0017,-0.1034,-0.0001,-0.0046,4,0.2500,4,-0.0339,-0.1062,Trend filter off,30.5370,-0.0522,43.2365,0.2050,-0.0127,-0.0602,-0.1666,-0.0101,-0.0408,-0.1017,0.1288,-0.9891,-0.9965,-0.1749,2512,2,,-0.0255,0.0266,0.0909,0.5455,-0.0037,0.0000,0.0000,-0.7433,-0.1272,5,0.4000,-0.0039,3,0.0000,-0.0226,3,0.3333,-0.0261,17,0.2353,-0.0064,11,0.0909,-0.0099,7,0.1429,-0.0253,19,0.2632,-0.0097,11,0.2727,-0.0017,6,0.3333,-0.0129,Inverse ETFs (SDS),False,,,,2.1839,,False
